,Unnamed: 0.1,Unnamed: 0,Id,profile_unique_id,Liked Products/User,Recommended Products,Products,list_Preferences,list_interest,list_style,list_occasion,list_gender,list_age,list_relationship,join_key,list_Profiles,user_unique_id,Creation Date,Modified Date,parsed_preferences,Genereated_Recommends,Random_Generated_Clicks,all_unique_id
258,258,242,,random_profile_866,,,,,"['pets and animal lovers', 'social impact and charity', 'outdoor and nature', 'books and learning']","['minimalistic', 'practical', 'premium brands', 'comfortable yet stylish', 'bougie', 'chill']",['birthdays'],['female'],['under 12'],['colleague'],,,random_user_8,,,"{'interest': ['pets and animal lovers', 'social impact and charity', 'outdoor and nature', 'books and learning'], 'style': ['minimalistic', 'practical', 'premium brands', 'comfortable yet stylish', 'bougie', 'chill'], 'occasion': ['birthdays'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['colleague']}",[],['1694624164793x640812920138353300'],unq_id-258
259,259,243,,random_profile_158,,,,,['pets and animal lovers'],"['premium brands', 'classic and timeless']",['promotions and achievements'],['female'],['18 - 25'],['child'],,,random_user_223,,,"{'interest': ['pets and animal lovers'], 'style': ['premium brands', 'classic and timeless'], 'occasion': ['promotions and achievements'], 'gender': ['female'], 'age_category': ['18 - 25'], 'relationship': ['child']}","['1694623243081x559101251033145040', '1694623243652x347361436851366200', '1696351105169x905659894498306300', '1696351119839x637901933835382100']","['1696474678657x711786333788958500', '1696351112096x122601174651416620']",unq_id-259
260,260,244,,random_profile_313,,,,,"['beauty and self-care', 'music and entertainment', 'food and cooking', 'social impact and charity']","['classic and timeless', 'minimalistic', 'bougie', 'comfortable yet stylish']",['anniversaries'],['male'],['12 - 18'],['child'],,,random_user_77,,,"{'interest': ['beauty and self-care', 'music and entertainment', 'food and cooking', 'social impact and charity'], 'style': ['classic and timeless', 'minimalistic', 'bougie', 'comfortable yet stylish'], 'occasion': ['anniversaries'], 'gender': ['male'], 'age_category': ['12 - 18'], 'relationship': ['child']}","['1694623243081x559101251033145040', '1694623243652x347361436851366200', '1696351105169x905659894498306300', '1696351119839x637901933835382100']","['1696265498318x653448679837814900', '1695942612387x759926721420278700', '1694623256053x387914530990802300', '1694620672267x381920653884119800']",unq_id-260
261,261,245,,random_profile_232,,,,,"['travel and adventure', 'spirituality', 'social impact and charity', 'pets and animal lovers', 'home and decor', 'food and cooking']","['bougie', 'minimalistic', 'chill', 'premium brands', 'practical']",['promotions and achievements'],['male'],['under 12'],['girlfriend'],,,random_user_293,,,"{'interest': ['travel and adventure', 'spirituality', 'social impact and charity', 'pets and animal lovers', 'home and decor', 'food and cooking'], 'style': ['bougie', 'minimalistic', 'chill', 'premium brands', 'practical'], 'occasion': ['promotions and achievements'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['girlfriend']}",[],"['1694624875092x352766843247078100', '1704448566358x164775220563958980', '1696265560845x411613244597730940']",unq_id-261
262,262,246,,random_profile_231,,,,,"['books and learning', 'food and cooking', 'arts and crafts', 'home and decor', 'fitness and wellness', 'sports and hobbies', 'travel and adventure', 'spirituality', 'beauty and self-care', 'fashion and accessories']","['minimalistic', 'comfortable yet stylish', 'practical', 'premium brands', 'chill', 'classic and timeless']",['thank you gifts'],['female'],['65 +'],['colleague'],,,random_user_58,,,"{'interest': ['books and learning', 'food and cooking', 'arts and crafts', 'home and decor', 'fitness and wellness', 'sports and hobbies', 'travel and adventure', 'spirituality', 'beauty and self-care', 'fashion and accessories'], 'style': ['minimalistic', 'comfortable yet stylish', 'practical', 'premium brands', 'chill', 'classic and timeless'], 'occasion': ['thank you gifts'], 'gender': ['female'], 'age_category': ['65 +'], 'relationship': ['colleague']}",[],"['1695831215833x210457796051987550', '1695942625356x987948487080829400', '1694624877125x971935041876400500', '1694624868072x902591614236505600']",unq_id-262
263,263,247,,random_profile_135,,,,,"['social impact and charity', 'fashion and accessories', 'fitness and wellness', 'beauty and self-care', 'books and learning', 'pets and animal lovers', 'spirituality']","['chill', 'comfortable yet stylish', 'practical', 'classic and timeless']",['holidays'],['female'],['under 12'],['parent'],,,random_user_248,,,"{'interest': ['social impact and charity', 'fashion and accessories', 'fitness and wellness', 'beauty and self-care', 'books and learning', 'pets and animal lovers', 'spirituality'], 'style': ['chill', 'comfortable yet stylish', 'practical', 'classic and timeless'], 'occasion': ['holidays'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['parent']}",[],"['1696351105986x552823083556598800', '1696265556681x519153699811399700']",unq_id-263
264,264,248,,random_profile_617,,,,,"['beauty and self-care', 'tech and gadgets', 'social impact and charity', 'travel and adventure', 'sports and hobbies']",['chill'],['newborns'],['male'],['12 - 18'],['friend'],,,random_user_121,,,"{'interest': ['beauty and self-care', 'tech and gadgets', 'social impact and charity', 'travel and adventure', 'sports and hobbies'], 'style': ['chill'], 'occasion': ['newborns'], 'gender': ['male'], 'age_category': ['12 - 18'], 'relationship': ['friend']}",[],"['1704797744363x466994394782236700', '1704448552525x871278276498135200', '1694624868072x902591614236505600']",unq_id-264
265,265,249,,random_profile_588,,,,,['tech and gadgets'],['practical'],['apologies'],['male'],['12 - 18'],['grand parent'],,,random_user_224,,,"{'interest': ['tech and gadgets'], 'style': ['practical'], 'occasion': ['apologies'], 'gender': ['male'], 'age_category': ['12 - 18'], 'relationship': ['grand parent']}",[],['1695831209141x330353803306080900'],unq_id-265
266,266,250,,random_profile_66,,,,,"['fitness and wellness', 'outdoor and nature', 'sports and hobbies', 'music and entertainment']","['premium brands', 'chill', 'bougie', 'classic and timeless', 'minimalistic', 'comfortable yet stylish']","[""valentine's day""]",['female'],['65 +'],['colleague'],,,random_user_192,,,"{'interest': ['fitness and wellness', 'outdoor and nature', 'sports and hobbies', 'music and entertainment'], 'style': ['premium brands', 'chill', 'bougie', 'classic and timeless', 'minimalistic', 'comfortable yet stylish'], 'occasion': [""valentine's day""], 'gender': ['female'], 'age_category': ['65 +'], 'relationship': ['colleague']}",[],['1694623741256x448623241962008640'],unq_id-266
267,267,251,,random_profile_563,,,,,"['sports and hobbies', 'travel and adventure']","['chill', 'comfortable yet stylish', 'premium brands', 'bougie', 'minimalistic', 'practical']",['get well soon'],['male'],['under 12'],['spouse or significant other'],,,random_user_209,,,"{'interest': ['sports and hobbies', 'travel and adventure'], 'style': ['chill', 'comfortable yet stylish', 'premium brands', 'bougie', 'minimalistic', 'practical'], 'occasion': ['get well soon'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['spouse or significant other']}",[],"['1694624166818x511649925901232100', '1694623250463x734250124896653000', '1695831217888x961296328275531500']",unq_id-267
268,268,252,,random_profile_253,,,,,"['home and decor', 'beauty and self-care', 'travel and adventure', 'food and cooking', 'tech and gadgets', 'books and learning', 'sports and hobbies', 'spirituality', 'social impact and charity', 'arts and crafts']","['bougie', 'chill', 'premium brands', 'comfortable yet stylish', 'classic and timeless']",['newborns'],['female'],['12 - 18'],['grand parent'],,,random_user_275,,,"{'interest': ['home and decor', 'beauty and self-care', 'travel and adventure', 'food and cooking', 'tech and gadgets', 'books and learning', 'sports and hobbies', 'spirituality', 'social impact and charity', 'arts and crafts'], 'style': ['bougie', 'chill', 'premium brands', 'comfortable yet stylish', 'classic and timeless'], 'occasion': ['newborns'], 'gender': ['female'], 'age_category': ['12 - 18'], 'relationship': ['grand parent']}",[],"['1695831207158x637178621020857900', '1694624157909x286171674076893380', '1696351131417x518532267880837950']",unq_id-268
269,269,253,,random_profile_618,,,,,"['spirituality', 'art and culture', 'arts and crafts', 'food and cooking', 'social impact and charity', 'beauty and self-care', 'sports and hobbies', 'books and learning', 'music and entertainment', 'outdoor and nature']","['bougie', 'premium brands', 'practical', 'comfortable yet stylish', 'classic and timeless', 'minimalistic']",['graduations'],['male'],['65 +'],['grand parent'],,,random_user_74,,,"{'interest': ['spirituality', 'art and culture', 'arts and crafts', 'food and cooking', 'social impact and charity', 'beauty and self-care', 'sports and hobbies', 'books and learning', 'music and entertainment', 'outdoor and nature'], 'style': ['bougie', 'premium brands', 'practical', 'comfortable yet stylish', 'classic and timeless', 'minimalistic'], 'occasion': ['graduations'], 'gender': ['male'], 'age_category': ['65 +'], 'relationship': ['grand parent']}",[],['1694624896393x302944217795392060'],unq_id-269
270,270,254,,random_profile_516,,,,,"['spirituality', 'music and entertainment']","['classic and timeless', 'comfortable yet stylish', 'minimalistic']",['get well soon'],['male'],['under 12'],['friend'],,,random_user_196,,,"{'interest': ['spirituality', 'music and entertainment'], 'style': ['classic and timeless', 'comfortable yet stylish', 'minimalistic'], 'occasion': ['get well soon'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['friend']}",[],"['1694624888211x102358531174996600', '1696265562816x496162930983332000', '1694624884174x613995213977689900']",unq_id-270
271,271,255,,random_profile_965,,,,,"['travel and adventure', 'food and cooking', 'art and culture', 'fashion and accessories', 'music and entertainment', 'books and learning', 'spirituality', 'outdoor and nature', 'fitness and wellness']","['minimalistic', 'chill', 'bougie']",['graduations'],['male'],['under 12'],['friend'],,,random_user_47,,,"{'interest': ['travel and adventure', 'food and cooking', 'art and culture', 'fashion and accessories', 'music and entertainment', 'books and learning', 'spirituality', 'outdoor and nature', 'fitness and wellness'], 'style': ['minimalistic', 'chill', 'bougie'], 'occasion': ['graduations'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['friend']}",[],"['1704448570473x316278457403149630', '1694623246522x845243131192662700', '1695831223933x848143711084510200', '1694623762477x780696158880835800']",unq_id-271
272,272,256,,random_profile_652,,,,,"['fashion and accessories', 'beauty and self-care', 'home and decor', 'spirituality', 'books and learning']","['bougie', 'minimalistic', 'chill', 'classic and timeless', 'premium brands', 'practical']","[""valentine's day""]",['female'],['45 - 65'],['parent'],,,random_user_24,,,"{'interest': ['fashion and accessories', 'beauty and self-care', 'home and decor', 'spirituality', 'books and learning'], 'style': ['bougie', 'minimalistic', 'chill', 'classic and timeless', 'premium brands', 'practical'], 'occasion': [""valentine's day""], 'gender': ['female'], 'age_category': ['45 - 65'], 'relationship': ['parent']}",[],"['1694624873084x797731545076357400', '1696778065187x934733550931766000']",unq_id-272
273,273,257,,random_profile_37,,,,,"['fashion and accessories', 'travel and adventure', 'beauty and self-care', 'music and entertainment', 'home and decor', 'sports and hobbies', 'social impact and charity', 'fitness and wellness', 'food and cooking', 'tech and gadgets', 'books and learning', 'outdoor and nature']","['classic and timeless', 'practical', 'bougie']",['anniversaries'],['female'],['65 +'],['grand parent'],,,random_user_271,,,"{'interest': ['fashion and accessories', 'travel and adventure', 'beauty and self-care', 'music and entertainment', 'home and decor', 'sports and hobbies', 'social impact and charity', 'fitness and wellness', 'food and cooking', 'tech and gadgets', 'books and learning', 'outdoor and nature'], 'style': ['classic and timeless', 'practical', 'bougie'], 'occasion': ['anniversaries'], 'gender': ['female'], 'age_category': ['65 +'], 'relationship': ['grand parent']}",[],"['1694623759851x510205612768900100', '1695831213240x863924367808470900', '1694624175801x637388771770342500']",unq_id-273
274,274,258,,random_profile_459,,,,,"['spirituality', 'pets and animal lovers', 'fitness and wellness']","['comfortable yet stylish', 'minimalistic']",['newborns'],['male'],['12 - 18'],['girlfriend'],,,random_user_1,,,"{'interest': ['spirituality', 'pets and animal lovers', 'fitness and wellness'], 'style': ['comfortable yet stylish', 'minimalistic'], 'occasion': ['newborns'], 'gender': ['male'], 'age_category': ['12 - 18'], 'relationship': ['girlfriend']}",[],"['1696265498318x653448679837814900', '1694623245655x643865798750550500']",unq_id-274
275,275,259,,random_profile_578,,,,,"['tech and gadgets', 'music and entertainment', 'pets and animal lovers', 'food and cooking', 'sports and hobbies', 'arts and crafts', 'home and decor', 'social impact and charity', 'spirituality', 'beauty and self-care', 'art and culture', 'travel and adventure', 'books and learning', 'fashion and accessories', 'fitness and wellness']","['minimalistic', 'comfortable yet stylish']",['get well soon'],['female'],['12 - 18'],['grand parent'],,,random_user_208,,,"{'interest': ['tech and gadgets', 'music and entertainment', 'pets and animal lovers', 'food and cooking', 'sports and hobbies', 'arts and crafts', 'home and decor', 'social impact and charity', 'spirituality', 'beauty and self-care', 'art and culture', 'travel and adventure', 'books and learning', 'fashion and accessories', 'fitness and wellness'], 'style': ['minimalistic', 'comfortable yet stylish'], 'occasion': ['get well soon'], 'gender': ['female'], 'age_category': ['12 - 18'], 'relationship': ['grand parent']}",[],"['1700977806289x430252729878543500', '1695942626347x179695169501877380', '1694623246522x845243131192662700', '1695942620412x320545898175664400']",unq_id-275
276,276,260,,random_profile_885,,,,,"['beauty and self-care', 'art and culture', 'social impact and charity', 'fashion and accessories', 'music and entertainment', 'home and decor', 'travel and adventure']","['bougie', 'premium brands', 'classic and timeless']",['graduations'],['male'],['65 +'],['child'],,,random_user_51,,,"{'interest': ['beauty and self-care', 'art and culture', 'social impact and charity', 'fashion and accessories', 'music and entertainment', 'home and decor', 'travel and adventure'], 'style': ['bougie', 'premium brands', 'classic and timeless'], 'occasion': ['graduations'], 'gender': ['male'], 'age_category': ['65 +'], 'relationship': ['child']}",[],['1695942601474x177590380869441200'],unq_id-276
277,277,261,,random_profile_551,,,,,"['spirituality', 'home and decor']","['chill', 'classic and timeless', 'minimalistic']",['newborns'],['female'],['under 12'],['girlfriend'],,,random_user_32,,,"{'interest': ['spirituality', 'home and decor'], 'style': ['chill', 'classic and timeless', 'minimalistic'], 'occasion': ['newborns'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['girlfriend']}",[],['1695831201919x939463238120724900'],unq_id-277
278,278,262,,random_profile_429,,,,,"['travel and adventure', 'fashion and accessories', 'music and entertainment', 'beauty and self-care', 'art and culture', 'pets and animal lovers', 'fitness and wellness', 'sports and hobbies']","['practical', 'chill', 'premium brands', 'classic and timeless']",['birthdays'],['female'],['65 +'],['girlfriend'],,,random_user_4,,,"{'interest': ['travel and adventure', 'fashion and accessories', 'music and entertainment', 'beauty and self-care', 'art and culture', 'pets and animal lovers', 'fitness and wellness', 'sports and hobbies'], 'style': ['practical', 'chill', 'premium brands', 'classic and timeless'], 'occasion': ['birthdays'], 'gender': ['female'], 'age_category': ['65 +'], 'relationship': ['girlfriend']}",[],"['1694624886161x625817956109399000', '1694624175801x637388771770342500', '1694623741256x448623241962008640']",unq_id-278
279,279,263,,random_profile_845,,,,,"['fitness and wellness', 'home and decor', 'pets and animal lovers', 'books and learning', 'sports and hobbies', 'food and cooking', 'travel and adventure', 'social impact and charity']","['comfortable yet stylish', 'bougie']",['get well soon'],['male'],['under 12'],['spouse or significant other'],,,random_user_84,,,"{'interest': ['fitness and wellness', 'home and decor', 'pets and animal lovers', 'books and learning', 'sports and hobbies', 'food and cooking', 'travel and adventure', 'social impact and charity'], 'style': ['comfortable yet stylish', 'bougie'], 'occasion': ['get well soon'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['spouse or significant other']}",[],"['1696265559159x105518056035937010', '1696351127963x690438953407710200', '1694624169809x732271297627763500', '1696474700813x578258718697241000']",unq_id-279
280,280,264,,random_profile_341,,,,,"['food and cooking', 'books and learning', 'pets and animal lovers', 'arts and crafts', 'outdoor and nature', 'fashion and accessories', 'spirituality', 'fitness and wellness', 'music and entertainment', 'tech and gadgets', 'social impact and charity', 'sports and hobbies']","['premium brands', 'comfortable yet stylish']",['newborns'],['female'],['65 +'],['parent'],,,random_user_43,,,"{'interest': ['food and cooking', 'books and learning', 'pets and animal lovers', 'arts and crafts', 'outdoor and nature', 'fashion and accessories', 'spirituality', 'fitness and wellness', 'music and entertainment', 'tech and gadgets', 'social impact and charity', 'sports and hobbies'], 'style': ['premium brands', 'comfortable yet stylish'], 'occasion': ['newborns'], 'gender': ['female'], 'age_category': ['65 +'], 'relationship': ['parent']}",[],['1694623244438x103467340935090580'],unq_id-280
281,281,265,,random_profile_948,,,,,"['social impact and charity', 'beauty and self-care', 'books and learning', 'food and cooking', 'fitness and wellness', 'outdoor and nature', 'travel and adventure', 'art and culture', 'music and entertainment', 'arts and crafts', 'tech and gadgets', 'fashion and accessories', 'home and decor', 'pets and animal lovers']","['premium brands', 'classic and timeless', 'comfortable yet stylish', 'minimalistic']",['birthdays'],['male'],['65 +'],['child'],,,random_user_286,,,"{'interest': ['social impact and charity', 'beauty and self-care', 'books and learning', 'food and cooking', 'fitness and wellness', 'outdoor and nature', 'travel and adventure', 'art and culture', 'music and entertainment', 'arts and crafts', 'tech and gadgets', 'fashion and accessories', 'home and decor', 'pets and animal lovers'], 'style': ['premium brands', 'classic and timeless', 'comfortable yet stylish', 'minimalistic'], 'occasion': ['birthdays'], 'gender': ['male'], 'age_category': ['65 +'], 'relationship': ['child']}",[],"['1694624888211x102358531174996600', '1696265566782x519965294085110100', '1696450245882x247470168257331200', '1694623741256x448623241962008640']",unq_id-281
282,282,266,,random_profile_828,,,,,"['books and learning', 'outdoor and nature', 'sports and hobbies', 'arts and crafts', 'home and decor', 'fitness and wellness', 'pets and animal lovers']","['minimalistic', 'practical', 'chill', 'premium brands', 'comfortable yet stylish']",['anniversaries'],['female'],['25 - 45'],['girlfriend'],,,random_user_122,,,"{'interest': ['books and learning', 'outdoor and nature', 'sports and hobbies', 'arts and crafts', 'home and decor', 'fitness and wellness', 'pets and animal lovers'], 'style': ['minimalistic', 'practical', 'chill', 'premium brands', 'comfortable yet stylish'], 'occasion': ['anniversaries'], 'gender': ['female'], 'age_category': ['25 - 45'], 'relationship': ['girlfriend']}",[],['1694623743199x933704732028886900'],unq_id-282
283,283,267,,random_profile_478,,,,,"['sports and hobbies', 'outdoor and nature', 'social impact and charity', 'travel and adventure', 'fitness and wellness', 'art and culture', 'music and entertainment', 'books and learning', 'beauty and self-care', 'food and cooking', 'tech and gadgets', 'arts and crafts']","['bougie', 'practical', 'classic and timeless', 'chill']",['promotions and achievements'],['female'],['under 12'],['grand parent'],,,random_user_298,,,"{'interest': ['sports and hobbies', 'outdoor and nature', 'social impact and charity', 'travel and adventure', 'fitness and wellness', 'art and culture', 'music and entertainment', 'books and learning', 'beauty and self-care', 'food and cooking', 'tech and gadgets', 'arts and crafts'], 'style': ['bougie', 'practical', 'classic and timeless', 'chill'], 'occasion': ['promotions and achievements'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['grand parent']}",[],"['1696474691427x321573053330085400', '1704634248754x992048435479508500']",unq_id-283
284,284,268,,random_profile_805,,,,,"['outdoor and nature', 'art and culture', 'pets and animal lovers', 'sports and hobbies', 'books and learning', 'social impact and charity']","['bougie', 'premium brands']",['apologies'],['male'],['65 +'],['grand parent'],,,random_user_281,,,"{'interest': ['outdoor and nature', 'art and culture', 'pets and animal lovers', 'sports and hobbies', 'books and learning', 'social impact and charity'], 'style': ['bougie', 'premium brands'], 'occasion': ['apologies'], 'gender': ['male'], 'age_category': ['65 +'], 'relationship': ['grand parent']}",[],"['1694624171991x961001211226920400', '1694624867340x208100144447579170']",unq_id-284
285,285,269,,random_profile_106,,,,,"['travel and adventure', 'sports and hobbies', 'fashion and accessories', 'books and learning', 'beauty and self-care', 'art and culture', 'tech and gadgets', 'music and entertainment', 'spirituality', 'pets and animal lovers', 'outdoor and nature', 'arts and crafts']","['chill', 'comfortable yet stylish', 'bougie', 'premium brands']",['newborns'],['male'],['18 - 25'],['child'],,,random_user_51,,,"{'interest': ['travel and adventure', 'sports and hobbies', 'fashion and accessories', 'books and learning', 'beauty and self-care', 'art and culture', 'tech and gadgets', 'music and entertainment', 'spirituality', 'pets and animal lovers', 'outdoor and nature', 'arts and crafts'], 'style': ['chill', 'comfortable yet stylish', 'bougie', 'premium brands'], 'occasion': ['newborns'], 'gender': ['male'], 'age_category': ['18 - 25'], 'relationship': ['child']}","['1694623243081x559101251033145040', '1696351105169x905659894498306300']","['1694624160871x306705514795158100', '1694623742455x786508786880762500', '1696265544791x893724028251703400']",unq_id-285
286,286,270,,random_profile_119,,,,,['tech and gadgets'],"['classic and timeless', 'comfortable yet stylish', 'premium brands']",['weddings'],['male'],['25 - 45'],['colleague'],,,random_user_61,,,"{'interest': ['tech and gadgets'], 'style': ['classic and timeless', 'comfortable yet stylish', 'premium brands'], 'occasion': ['weddings'], 'gender': ['male'], 'age_category': ['25 - 45'], 'relationship': ['colleague']}",[],"['1694624870083x212690197200160030', '1695942603345x176319672058410600', '1696265545828x911224905631472300']",unq_id-286
287,287,271,,random_profile_703,,,,,"['food and cooking', 'beauty and self-care', 'sports and hobbies', 'fitness and wellness', 'arts and crafts', 'fashion and accessories', 'travel and adventure', 'art and culture', 'pets and animal lovers']","['classic and timeless', 'practical', 'comfortable yet stylish', 'chill']",['graduations'],['male'],['18 - 25'],['parent'],,,random_user_225,,,"{'interest': ['food and cooking', 'beauty and self-care', 'sports and hobbies', 'fitness and wellness', 'arts and crafts', 'fashion and accessories', 'travel and adventure', 'art and culture', 'pets and animal lovers'], 'style': ['classic and timeless', 'practical', 'comfortable yet stylish', 'chill'], 'occasion': ['graduations'], 'gender': ['male'], 'age_category': ['18 - 25'], 'relationship': ['parent']}",[],"['1695942622432x327888983817303800', '1704797200187x350678309094555650', '1694623259609x642610669416005600', '1695942612387x759926721420278700']",unq_id-287
288,288,272,,random_profile_155,,,,,"['spirituality', 'travel and adventure', 'books and learning']","['practical', 'chill', 'classic and timeless', 'premium brands', 'comfortable yet stylish', 'bougie']",['apologies'],['male'],['65 +'],['friend'],,,random_user_279,,,"{'interest': ['spirituality', 'travel and adventure', 'books and learning'], 'style': ['practical', 'chill', 'classic and timeless', 'premium brands', 'comfortable yet stylish', 'bougie'], 'occasion': ['apologies'], 'gender': ['male'], 'age_category': ['65 +'], 'relationship': ['friend']}",[],"['1696351112096x122601174651416620', '1695831216835x121108249562346560', '1694623243652x347361436851366200']",unq_id-288
289,289,273,,random_profile_763,,,,,"['social impact and charity', 'home and decor', 'pets and animal lovers']","['minimalistic', 'premium brands', 'comfortable yet stylish', 'bougie', 'classic and timeless']",['retirements'],['female'],['45 - 65'],['girlfriend'],,,random_user_128,,,"{'interest': ['social impact and charity', 'home and decor', 'pets and animal lovers'], 'style': ['minimalistic', 'premium brands', 'comfortable yet stylish', 'bougie', 'classic and timeless'], 'occasion': ['retirements'], 'gender': ['female'], 'age_category': ['45 - 65'], 'relationship': ['girlfriend']}",[],"['1696265549614x694079396316065700', '1701096859516x503355096677604800']",unq_id-289
290,290,274,,random_profile_928,,,,,"['sports and hobbies', 'travel and adventure', 'pets and animal lovers']","['comfortable yet stylish', 'chill']",['birthdays'],['female'],['18 - 25'],['parent'],,,random_user_236,,,"{'interest': ['sports and hobbies', 'travel and adventure', 'pets and animal lovers'], 'style': ['comfortable yet stylish', 'chill'], 'occasion': ['birthdays'], 'gender': ['female'], 'age_category': ['18 - 25'], 'relationship': ['parent']}",[],['1696265572816x168187797879475900'],unq_id-290
291,291,275,,random_profile_218,,,,,"['pets and animal lovers', 'home and decor', 'outdoor and nature', 'books and learning', 'arts and crafts', 'art and culture', 'music and entertainment', 'spirituality', 'social impact and charity', 'food and cooking', 'beauty and self-care', 'fashion and accessories', 'fitness and wellness', 'travel and adventure']","['bougie', 'classic and timeless', 'minimalistic', 'premium brands', 'practical']",['anniversaries'],['female'],['45 - 65'],['friend'],,,random_user_163,,,"{'interest': ['pets and animal lovers', 'home and decor', 'outdoor and nature', 'books and learning', 'arts and crafts', 'art and culture', 'music and entertainment', 'spirituality', 'social impact and charity', 'food and cooking', 'beauty and self-care', 'fashion and accessories', 'fitness and wellness', 'travel and adventure'], 'style': ['bougie', 'classic and timeless', 'minimalistic', 'premium brands', 'practical'], 'occasion': ['anniversaries'], 'gender': ['female'], 'age_category': ['45 - 65'], 'relationship': ['friend']}",[],"['1704448562440x450964426847806140', '1694623254414x321277419837219260', '1695942600357x419393516727613060']",unq_id-291
292,292,276,,random_profile_997,,,,,"['music and entertainment', 'pets and animal lovers', 'tech and gadgets', 'beauty and self-care', 'home and decor', 'travel and adventure', 'social impact and charity', 'outdoor and nature', 'sports and hobbies', 'fashion and accessories', 'arts and crafts', 'art and culture']",['chill'],['get well soon'],['female'],['under 12'],['colleague'],,,random_user_135,,,"{'interest': ['music and entertainment', 'pets and animal lovers', 'tech and gadgets', 'beauty and self-care', 'home and decor', 'travel and adventure', 'social impact and charity', 'outdoor and nature', 'sports and hobbies', 'fashion and accessories', 'arts and crafts', 'art and culture'], 'style': ['chill'], 'occasion': ['get well soon'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['colleague']}",[],"['1694623271625x818520869051601700', '1695831199012x679712269232390000', '1695942625356x987948487080829400', '1696265572816x168187797879475900']",unq_id-292
293,293,277,,random_profile_244,,,,,"['books and learning', 'home and decor']",['practical'],"[""valentine's day""]",['male'],['18 - 25'],['girlfriend'],,,random_user_174,,,"{'interest': ['books and learning', 'home and decor'], 'style': ['practical'], 'occasion': [""valentine's day""], 'gender': ['male'], 'age_category': ['18 - 25'], 'relationship': ['girlfriend']}",[],"['1696265560845x411613244597730940', '1695942600357x419393516727613060', '1694624177877x368703835059625000']",unq_id-293
294,294,278,,random_profile_471,,,,,"['arts and crafts', 'spirituality', 'outdoor and nature', 'food and cooking', 'pets and animal lovers', 'sports and hobbies', 'fashion and accessories', 'art and culture', 'home and decor', 'beauty and self-care', 'books and learning', 'fitness and wellness', 'social impact and charity', 'tech and gadgets', 'travel and adventure']","['classic and timeless', 'premium brands', 'chill']",['promotions and achievements'],['female'],['25 - 45'],['grand parent'],,,random_user_129,,,"{'interest': ['arts and crafts', 'spirituality', 'outdoor and nature', 'food and cooking', 'pets and animal lovers', 'sports and hobbies', 'fashion and accessories', 'art and culture', 'home and decor', 'beauty and self-care', 'books and learning', 'fitness and wellness', 'social impact and charity', 'tech and gadgets', 'travel and adventure'], 'style': ['classic and timeless', 'premium brands', 'chill'], 'occasion': ['promotions and achievements'], 'gender': ['female'], 'age_category': ['25 - 45'], 'relationship': ['grand parent']}",[],"['1694624162835x159320189314302370', '1694623751271x391270845290324000', '1694624879079x981487986484931500', '1695831202987x252898367831274180']",unq_id-294
295,295,279,,random_profile_102,,,,,"['sports and hobbies', 'music and entertainment', 'arts and crafts']","['comfortable yet stylish', 'practical', 'bougie', 'minimalistic', 'classic and timeless']",['appreciation'],['male'],['25 - 45'],['parent'],,,random_user_230,,,"{'interest': ['sports and hobbies', 'music and entertainment', 'arts and crafts'], 'style': ['comfortable yet stylish', 'practical', 'bougie', 'minimalistic', 'classic and timeless'], 'occasion': ['appreciation'], 'gender': ['male'], 'age_category': ['25 - 45'], 'relationship': ['parent']}",[],"['1694624886161x625817956109399000', '1695836056625x698490246932250900', '1694624875092x352766843247078100']",unq_id-295
296,296,280,,random_profile_485,,,,,"['music and entertainment', 'food and cooking', 'pets and animal lovers', 'arts and crafts', 'spirituality', 'sports and hobbies', 'home and decor', 'tech and gadgets', 'art and culture', 'books and learning', 'fitness and wellness', 'beauty and self-care', 'outdoor and nature', 'fashion and accessories', 'travel and adventure']","['bougie', 'minimalistic', 'chill', 'classic and timeless']",['apologies'],['female'],['45 - 65'],['grand parent'],,,random_user_7,,,"{'interest': ['music and entertainment', 'food and cooking', 'pets and animal lovers', 'arts and crafts', 'spirituality', 'sports and hobbies', 'home and decor', 'tech and gadgets', 'art and culture', 'books and learning', 'fitness and wellness', 'beauty and self-care', 'outdoor and nature', 'fashion and accessories', 'travel and adventure'], 'style': ['bougie', 'minimalistic', 'chill', 'classic and timeless'], 'occasion': ['apologies'], 'gender': ['female'], 'age_category': ['45 - 65'], 'relationship': ['grand parent']}",[],"['1704795547455x828924155228323800', '1704448566358x164775220563958980']",unq_id-296
